Type,Description,Amount,Date,Status
,NL Hold'em - ?100 CoinPoker Kickoff,699.66 USDT,2025-06-27 17:28:51 GMT-3 | 368270688,Approved
,NL Hold'em - ?100 CoinMasters - SHIBA,0 USDT,2025-06-27 17:22:31 GMT-3 | 368265112,Approved
,NL Hold'em - ?50 Friday Main Event,0 USDT,2025-06-27 16:16:01 GMT-3 | 368205216,Approved
,NL Hold'em - ?25 Hyper,0 USDT,2025-06-27 16:12:53 GMT-3 | 368202502,Approved
,NL Hold'em - ?25 Mini CoinMasters - SHIBA,0 USDT,2025-06-27 15:53:16 GMT-3 | 368185643,Approved
,NL Hold'em - ?100 CoinMasters - SHIBA,-100 USDT,2025-06-27 15:20:04 GMT-3 | 368157879,Approved
,NL Hold'em - ?100 CoinMasters - SHIBA,0 USDT,2025-06-27 15:19:59 GMT-3 | 368157791,Approved
,NL Hold'em - ?50 Friday Main Event,-50 USDT,2025-06-27 15:17:12 GMT-3 | 368155282,Approved
,NL Hold'em - ?25 Hyper,-25 USDT,2025-06-27 15:13:29 GMT-3 | 368151940,Approved
,NL Hold'em - ?25 Mini CoinMasters - SHIBA,-25 USDT,2025-06-27 15:04:38 GMT-3 | 368142878,Approved
,NL Hold'em - ?100 CoinMasters - SHIBA,-100 USDT,2025-06-27 14:34:58 GMT-3 | 368116713,Approved
,NL Hold'em - ?25 Deepstack Turbo,85.56 USDT,2025-06-27 14:00:33 GMT-3 | 368091249,Approved
,NL Hold'em - ?25 CoinPoker Mini Kickoff,0 USDT,2025-06-27 13:51:34 GMT-3 | 368085550,Approved
,NL Hold'em - ?50 Deepstack Turbo,50 USDT,2025-06-27 13:26:07 GMT-3 | 368064723,Approved
,NL Hold'em - ?25 Classic,390 USDT,2025-06-27 13:25:43 GMT-3 | 368064360,Approved
,NL Hold'em - ?50 Deepstack Turbo,-50 USDT,2025-06-27 12:48:53 GMT-3 | 368035274,Approved
,NL Hold'em - ?50 Classic,0 USDT,2025-06-27 12:47:53 GMT-3 | 368034353,Approved
,NL Hold'em - ?100 CoinPoker Kickoff,-100 USDT,2025-06-27 12:34:40 GMT-3 | 368022622,Approved
,NL Hold'em - ?25 CoinPoker Mini Kickoff,-25 USDT,2025-06-27 12:07:47 GMT-3 | 368000207,Approved
,NL Hold'em - ?50 Classic,-50 USDT,2025-06-27 11:13:24 GMT-3 | 367958428,Approved
,MTT fee conversion deposit,0.000000702119618407 USDT,2025-06-27 11:13:07 GMT-3 | 367958172,Approved
,MTT fee conversion withdrawal,-0.000013086794624646 CHP,2025-06-27 11:13:07 GMT-3 | 367958170,Approved
,NL Hold'em - ?25 Deepstack,0 USDT,2025-06-27 11:13:07 GMT-3 | 367958169,Approved
,NL Hold'em - ?25 Deepstack Turbo,-25 USDT,2025-06-27 10:49:15 GMT-3 | 367940405,Approved
,NL Hold'em - ?25 Classic,-25 USDT,2025-06-27 10:39:27 GMT-3 | 367934711,Approved
,NL Hold'em - ?25 Deepstack,-25 USDT,2025-06-27 10:39:21 GMT-3 | 367934655,Approved
,NL Hold'em - ?100 CoinPoker Kickoff,699.66 USDT,2025-06-27 17:28:51 GMT-3 | 368270688,Approved
,NL Hold'em - ?100 CoinMasters - SHIBA,0 USDT,2025-06-27 17:22:31 GMT-3 | 368265112,Approved
,NL Hold'em - ?50 Friday Main Event,0 USDT,2025-06-27 16:16:01 GMT-3 | 368205216,Approved
,NL Hold'em - ?25 Hyper,0 USDT,2025-06-27 16:12:53 GMT-3 | 368202502,Approved
,NL Hold'em - ?25 Mini CoinMasters - SHIBA,0 USDT,2025-06-27 15:53:16 GMT-3 | 368185643,Approved
,NL Hold'em - ?100 CoinMasters - SHIBA,-100 USDT,2025-06-27 15:20:04 GMT-3 | 368157879,Approved
,NL Hold'em - ?100 CoinMasters - SHIBA,0 USDT,2025-06-27 15:19:59 GMT-3 | 368157791,Approved
,NL Hold'em - ?50 Friday Main Event,-50 USDT,2025-06-27 15:17:12 GMT-3 | 368155282,Approved
,NL Hold'em - ?25 Hyper,-25 USDT,2025-06-27 15:13:29 GMT-3 | 368151940,Approved
,NL Hold'em - ?25 Mini CoinMasters - SHIBA,-25 USDT,2025-06-27 15:04:38 GMT-3 | 368142878,Approved
,NL Hold'em - ?100 CoinMasters - SHIBA,-100 USDT,2025-06-27 14:34:58 GMT-3 | 368116713,Approved
,NL Hold'em - ?25 Deepstack Turbo,85.56 USDT,2025-06-27 14:00:33 GMT-3 | 368091249,Approved
,NL Hold'em - ?25 CoinPoker Mini Kickoff,0 USDT,2025-06-27 13:51:34 GMT-3 | 368085550,Approved
,NL Hold'em - ?50 Deepstack Turbo,50 USDT,2025-06-27 13:26:07 GMT-3 | 368064723,Approved
,NL Hold'em - ?25 Classic,390 USDT,2025-06-27 13:25:43 GMT-3 | 368064360,Approved
,NL Hold'em - ?50 Deepstack Turbo,-50 USDT,2025-06-27 12:48:53 GMT-3 | 368035274,Approved
,NL Hold'em - ?50 Classic,0 USDT,2025-06-27 12:47:53 GMT-3 | 368034353,Approved
,NL Hold'em - ?100 CoinPoker Kickoff,-100 USDT,2025-06-27 12:34:40 GMT-3 | 368022622,Approved
,NL Hold'em - ?25 CoinPoker Mini Kickoff,-25 USDT,2025-06-27 12:07:47 GMT-3 | 368000207,Approved
,NL Hold'em - ?50 Classic,-50 USDT,2025-06-27 11:13:24 GMT-3 | 367958428,Approved
,NL Hold'em - ?25 Deepstack,0 USDT,2025-06-27 11:13:07 GMT-3 | 367958169,Approved
,MTT fee conversion withdrawal,-0.000013086794624646 CHP,2025-06-27 11:13:07 GMT-3 | 367958170,Approved
,MTT fee conversion deposit,0.000000702119618407 USDT,2025-06-27 11:13:07 GMT-3 | 367958172,Approved
,NL Hold'em - ?25 Deepstack Turbo,-25 USDT,2025-06-27 10:49:15 GMT-3 | 367940405,Approved
,NL Hold'em - ?25 Classic,-25 USDT,2025-06-27 10:39:27 GMT-3 | 367934711,Approved
,NL Hold'em - ?25 Deepstack,-25 USDT,2025-06-27 10:39:21 GMT-3 | 367934655,Approved
,Rakeback,0.000013086794624646 CHP,2025-06-23 11:00:07 GMT-3 | 364597861,Approved
,Transfer to player: DukeHigh,-1500 USDT,2025-06-22 21:42:40 GMT-3 | 364245037,Approved
,NL Hold'em - ?50 Sunday Main Event,1435.05 USDT,2025-06-22 21:01:21 GMT-3 | 364223539,Approved
,NL Hold'em - ?150 CoinMasters - BITCOIN,378 USDT,2025-06-22 18:30:21 GMT-3 | 364129830,Approved
,NL Hold'em - ?50 Sunday Sprint,0 USDT,2025-06-22 18:08:33 GMT-3 | 364110961,Approved
,NL Hold'em - ?50 Sunday Sprint,-50 USDT,2025-06-22 17:14:39 GMT-3 | 364064627,Approved
,NL Hold'em - ?50 Sunday Main Event,-50 USDT,2025-06-22 15:25:17 GMT-3 | 363974073,Approved
,NL Hold'em - ?150 CoinMasters - BITCOIN,-150 USDT,2025-06-22 14:30:35 GMT-3 | 363936453,Approved
,NL Hold'em - ?100 CoinPoker Kickoff,0 USDT,2025-06-22 14:17:16 GMT-3 | 363926841,Approved
,NL Hold'em - ?100 CoinPoker Kickoff,-100 USDT,2025-06-22 11:34:56 GMT-3 | 363819123,Approved
,NL Hold'em - ?100 CoinPoker Kickoff,0 USDT,2025-06-22 11:34:17 GMT-3 | 363818800,Approved
,Transfer from player: MiCajeroCoin,200 USDT,2025-06-22 10:30:53 GMT-3 | 363788490,Approved
,NL Hold'em - ?100 CoinPoker Kickoff,-100 USDT,2025-06-22 10:16:09 GMT-3 | 363780777,Approved
,NL Hold'em - ?100 CoinPoker Kickoff,100 USDT,2025-06-22 10:16:09 GMT-3 | 363780780,Approved
,NL Hold'em - ?100 CoinPoker Kickoff,-100 USDT,2025-06-22 10:16:03 GMT-3 | 363780716,Approved
,Transfer to player: vinicelso,-1500 USDT,2025-06-20 20:14:02 GMT-3 | 362495798,Approved
,NL Hold'em - ?50 Friday Main Event,1047.42 USDT,2025-06-20 20:10:51 GMT-3 | 362492788,Approved
,NL Hold'em - ?50 Sprint,97.29 USDT,2025-06-20 19:10:53 GMT-3 | 362440608,Approved
,NL Hold'em - ?100 CoinMasters - SHIBA,229.26 USDT,2025-06-20 18:31:30 GMT-3 | 362406751,Approved
,NL Hold'em - ?50 Sprint,-50 USDT,2025-06-20 18:09:21 GMT-3 | 362385912,Approved
,NL Hold'em - ?25 Mini CoinMasters - SHIBA,48.69 USDT,2025-06-20 18:03:01 GMT-3 | 362379842,Approved
,NL Hold'em - ?25 6-Max,0 USDT,2025-06-20 16:46:06 GMT-3 | 362316339,Approved
,NL Hold'em - ?50 Deepstack Turbo,420 USDT,2025-06-20 16:14:41 GMT-3 | 362294990,Approved
,NL Hold'em - ?25 6-Max,-25 USDT,2025-06-20 15:51:26 GMT-3 | 362278434,Approved
,NL Hold'em - ?50 Friday Main Event,-50 USDT,2025-06-20 15:46:00 GMT-3 | 362273979,Approved
,NL Hold'em - ?25 Mini CoinMasters - SHIBA,-25 USDT,2025-06-20 15:09:31 GMT-3 | 362246214,Approved
,NL Hold'em - ?100 CoinPoker Kickoff,0 USDT,2025-06-20 15:09:26 GMT-3 | 362246149,Approved
,NL Hold'em - ?100 CoinMasters - SHIBA,-100 USDT,2025-06-20 14:54:06 GMT-3 | 362234566,Approved
,NL Hold'em - ?25 CoinPoker Mini Kickoff,0 USDT,2025-06-20 14:53:59 GMT-3 | 362234471,Approved
,NL Hold'em - ?50 Classic,0 USDT,2025-06-20 13:24:59 GMT-3 | 362164670,Approved
,NL Hold'em - ?50 Deepstack Turbo,-50 USDT,2025-06-20 13:17:00 GMT-3 | 362159512,Approved
,NL Hold'em - ?50 Deepstack Turbo,50 USDT,2025-06-20 13:17:00 GMT-3 | 362159514,Approved
,NL Hold'em - ?50 Deepstack Turbo,-50 USDT,2025-06-20 13:16:53 GMT-3 | 362159442,Approved
,NL Hold'em - ?25 Deepstack Turbo,0 USDT,2025-06-20 12:53:15 GMT-3 | 362143908,Approved
,NL Hold'em - ?25 CoinPoker Mini Kickoff,-25 USDT,2025-06-20 12:10:38 GMT-3 | 362115457,Approved
,NL Hold'em - ?100 CoinPoker Kickoff,-100 USDT,2025-06-20 11:57:02 GMT-3 | 362104652,Approved
,NL Hold'em - ?25 Deepstack,0 USDT,2025-06-20 11:01:20 GMT-3 | 362067368,Approved
,NL Hold'em - ?50 Classic,-50 USDT,2025-06-20 10:54:22 GMT-3 | 362061701,Approved
,NL Hold'em - ?25 Deepstack Turbo,-25 USDT,2025-06-20 10:54:18 GMT-3 | 362061646,Approved
,NL Hold'em - ?25 Deepstack,-25 USDT,2025-06-20 10:40:04 GMT-3 | 362052269,Approved
,Transfer from player: MiCajeroCoin,200 USDT,2025-06-20 09:45:41 GMT-3 | 362023625,Approved
,NL Hold'em - ?100 CoinMasters - BONK,250 USDT,2025-06-19 18:39:16 GMT-3 | 361577752,Approved
,NL Hold'em - ?25 Mini CoinMasters - BONK,0 USDT,2025-06-19 17:34:55 GMT-3 | 361531143,Approved
,NL Hold'em - ?50 Thursday Main Event,0 USDT,2025-06-19 16:50:23 GMT-3 | 361498015,Approved
,NL Hold'em - ?25 6-Max,0 USDT,2025-06-19 16:22:33 GMT-3 | 361476572,Approved
,NL Hold'em - ?25 6-Max,-25 USDT,2025-06-19 15:54:28 GMT-3 | 361454753,Approved
,NL Hold'em - ?50 Thursday Main Event,-50 USDT,2025-06-19 15:26:50 GMT-3 | 361435738,Approved
,NL Hold'em - ?50 Deepstack Turbo,0 USDT,2025-06-19 15:26:41 GMT-3 | 361435640,Approved
,Transfer from player: MiCajeroCoin,200 USDT,2025-06-19 15:04:39 GMT-3 | 361420845,Approved
,NL Hold'em - ?25 Mini CoinMasters - BONK,-25 USDT,2025-06-19 14:55:59 GMT-3 | 361414996,Approved
,NL Hold'em - ?25 Mini CoinMasters - BONK,0 USDT,2025-06-19 14:55:49 GMT-3 | 361414878,Approved
,NL Hold'em - ?25 Mini CoinMasters - BONK,-25 USDT,2025-06-19 14:42:56 GMT-3 | 361406230,Approved
,NL Hold'em - ?100 CoinMasters - BONK,-100 USDT,2025-06-19 14:11:57 GMT-3 | 361387778,Approved
,NL Hold'em - ?100 CoinMasters - BONK,100 USDT,2025-06-19 13:20:10 GMT-3 | 361357215,Approved
,NL Hold'em - ?100 CoinMasters - BONK,-100 USDT,2025-06-19 13:20:07 GMT-3 | 361357182,Approved
,NL Hold'em - ?50 Deepstack Turbo,-50 USDT,2025-06-19 13:13:25 GMT-3 | 361353248,Approved
,NL Hold'em - ?50 Tuesday Main Event,0 USDT,2025-06-17 16:33:49 GMT-3 | 359901368,Approved
,NL Hold'em - ?50 Tuesday Main Event,-50 USDT,2025-06-17 15:04:41 GMT-3 | 359835266,Approved
,NL Hold'em - ?25 Mini CoinMasters - PENGU,0 USDT,2025-06-17 15:04:17 GMT-3 | 359835000,Approved
,NL Hold'em - ?50 Deepstack Turbo,0 USDT,2025-06-17 14:34:34 GMT-3 | 359811326,Approved
,NL Hold'em - ?25 Mini CoinMasters - PENGU,-25 USDT,2025-06-17 14:34:16 GMT-3 | 359811080,Approved
,NL Hold'em - ?25 CoinPoker Mini Kickoff,0 USDT,2025-06-17 14:34:14 GMT-3 | 359811055,Approved
,NL Hold'em - ?50 Deepstack Turbo,-50 USDT,2025-06-17 14:08:32 GMT-3 | 359792470,Approved
,NL Hold'em - ?50 Deepstack Turbo,0 USDT,2025-06-17 14:08:23 GMT-3 | 359792354,Approved
,MTT fee conversion withdrawal,-0.000019828476704009 CHP,2025-06-17 14:08:23 GMT-3 | 359792355,Approved
,MTT fee conversion deposit,0.000001063817603647 USDT,2025-06-17 14:08:23 GMT-3 | 359792356,Approved
,NL Hold'em - ?50 Deepstack Turbo,-50 USDT,2025-06-17 13:13:42 GMT-3 | 359748769,Approved
,NL Hold'em - ?25 CoinPoker Mini Kickoff,-25 USDT,2025-06-17 12:52:23 GMT-3 | 359732469,Approved
,NL Hold'em - ?50 Deepstack Turbo,50 USDT,2025-06-17 12:52:03 GMT-3 | 359732165,Approved
,NL Hold'em - ?50 Deepstack Turbo,-50 USDT,2025-06-17 12:51:55 GMT-3 | 359732059,Approved
,Rakeback,0.000019828476704009 CHP,2025-06-16 11:00:07 GMT-3 | 358747136,Approved
,Transfer to player: vinicelso,-600 USDT,2025-06-16 10:58:17 GMT-3 | 358745051,Approved
,NL Hold'em - ?150 CoinMasters - BITCOIN,725.8 USDT,2025-06-15 19:44:49 GMT-3 | 358254499,Approved
,NL Hold'em - ?50 Sunday Main Event,117.75 USDT,2025-06-15 19:13:45 GMT-3 | 358227974,Approved
,NL Hold'em - ?50 Sunday Sprint,0 USDT,2025-06-15 18:38:10 GMT-3 | 358200216,Approved
,NL Hold'em - ?50 Sunday Sprint,-50 USDT,2025-06-15 17:18:26 GMT-3 | 358140207,Approved
,NL Hold'em - ?50 Sunday Main Event,-50 USDT,2025-06-15 15:57:37 GMT-3 | 358076616,Approved
,NL Hold'em - ?150 CoinMasters - BITCOIN,-150 USDT,2025-06-15 15:05:49 GMT-3 | 358036165,Approved
,Transfer from player: MiCajeroCoin,150 USDT,2025-06-15 09:51:47 GMT-3 | 357808481,Approved
,NL Hold'em - ?50 Friday Main Event,0 USDT,2025-06-13 17:40:54 GMT-3 | 356361863,Approved
,NL Hold'em - ?25 CoinPoker Mini Kickoff,91.67 USDT,2025-06-13 17:18:33 GMT-3 | 356339888,Approved
,NL Hold'em - ?25 Mini CoinMasters - SHIBA,0 USDT,2025-06-13 15:40:55 GMT-3 | 356258157,Approved
,NL Hold'em - ?50 Deepstack Turbo,0 USDT,2025-06-13 15:03:49 GMT-3 | 356230825,Approved
,NL Hold'em - ?50 Friday Main Event,-50 USDT,2025-06-13 14:44:19 GMT-3 | 356215576,Approved
,NL Hold'em - ?50 Friday Main Event,50 USDT,2025-06-13 14:44:06 GMT-3 | 356215404,Approved
,NL Hold'em - ?50 Friday Main Event,-50 USDT,2025-06-13 14:43:09 GMT-3 | 356214672,Approved
,NL Hold'em - ?25 Mini CoinMasters - SHIBA,-25 USDT,2025-06-13 14:30:58 GMT-3 | 356204498,Approved
,NL Hold'em - ?50 Deepstack Turbo,-50 USDT,2025-06-13 14:11:33 GMT-3 | 356191055,Approved
,NL Hold'em - ?50 Deepstack Turbo,0 USDT,2025-06-13 14:11:25 GMT-3 | 356190963,Approved
,NL Hold'em - ?25 CoinPoker Mini Kickoff,-25 USDT,2025-06-13 13:45:47 GMT-3 | 356172454,Approved
,NL Hold'em - ?50 Deepstack Turbo,-50 USDT,2025-06-13 13:07:30 GMT-3 | 356139048,Approved
,Transfer from player: MiCajeroCoin,300 USDT,2025-06-13 10:01:21 GMT-3 | 355997512,Approved
,NL Hold'em - ?25 Turbo PKO,12.5 USDT,2025-06-12 18:22:07 GMT-3 | 355432822,Approved
,NL Hold'em - ?25 Deepstack 6-max Hyper,25 USDT,2025-06-12 17:21:32 GMT-3 | 355384243,Approved
,NL Hold'em - ?50 Sprint,0 USDT,2025-06-12 17:21:09 GMT-3 | 355383865,Approved
,NL Hold'em - ?50 Thursday Main Event,0 USDT,2025-06-12 17:05:33 GMT-3 | 355367287,Approved
,NL Hold'em - ?25 Deepstack 6-max Hyper,-25 USDT,2025-06-12 17:03:39 GMT-3 | 355365161,Approved
,NL Hold'em - ?25 Deepstack 6-max Hyper,25 USDT,2025-06-12 16:54:58 GMT-3 | 355357359,Approved
,NL Hold'em - ?25 Deepstack 6-max Hyper,-25 USDT,2025-06-12 16:54:46 GMT-3 | 355357165,Approved
,NL Hold'em - ?50 Thursday Main Event,-50 USDT,2025-06-12 16:51:12 GMT-3 | 355353999,Approved
,NL Hold'em - ?50 Thursday Main Event,0 USDT,2025-06-12 16:51:02 GMT-3 | 355353843,Approved
,NL Hold'em - ?25 Deepstack 6-max Hyper,25 USDT,2025-06-12 16:49:58 GMT-3 | 355352704,Approved
,NL Hold'em - ?25 Deepstack 6-max Hyper,-25 USDT,2025-06-12 16:49:20 GMT-3 | 355352079,Approved
,NL Hold'em - ?25 Turbo PKO,-25 USDT,2025-06-12 16:48:01 GMT-3 | 355350685,Approved
,NL Hold'em - ?50 Sprint,-50 USDT,2025-06-12 16:47:59 GMT-3 | 355350656,Approved
,NL Hold'em - ?50 Thursday Main Event,-50 USDT,2025-06-12 16:47:19 GMT-3 | 355350019,Approved
,NL Hold'em - ?50 Deepstack Turbo,0 USDT,2025-06-12 14:03:07 GMT-3 | 355221708,Approved
,MTT fee conversion withdrawal,-0.000030043146521226 CHP,2025-06-12 14:03:07 GMT-3 | 355221709,Approved
,MTT fee conversion deposit,0.00000161184485401 USDT,2025-06-12 14:03:07 GMT-3 | 355221710,Approved
,NL Hold'em - ?50 Deepstack Turbo,-50 USDT,2025-06-12 13:24:01 GMT-3 | 355192943,Approved
,Rakeback,0.000030043146521226 CHP,2025-06-09 11:00:08 GMT-3 | 352409464,Approved
,NL Hold'em - ?25 Deepstack 6-max Hyper,0 USDT,2025-06-08 18:54:06 GMT-3 | 351902570,Approved
,NL Hold'em - ?25 Sunday Bolt,25 USDT,2025-06-08 18:52:11 GMT-3 | 351901012,Approved
,NL Hold'em - ?50 Sunday Main Event,110.71 USDT,2025-06-08 18:51:54 GMT-3 | 351900799,Approved
,NL Hold'em - ?25 Sunday Bolt,-25 USDT,2025-06-08 18:29:29 GMT-3 | 351881105,Approved
,NL Hold'em - ?50 Sunday Sprint,0 USDT,2025-06-08 18:28:46 GMT-3 | 351880340,Approved
,NL Hold'em - ?25 Deepstack 6-max Hyper,-25 USDT,2025-06-08 17:46:38 GMT-3 | 351848030,Approved
,NL Hold'em - ?50 Sunday Main Event,-50 USDT,2025-06-08 16:54:50 GMT-3 | 351808037,Approved
,NL Hold'em - ?50 Sunday Sprint,-50 USDT,2025-06-08 16:43:43 GMT-3 | 351800973,Approved
,NL Hold'em - ?50 Sunday Main Event,0 USDT,2025-06-08 16:43:15 GMT-3 | 351800642,Approved
,NL Hold'em - ?50 Sunday Main Event,-50 USDT,2025-06-08 15:53:21 GMT-3 | 351766308,Approved
,NL Hold'em - ?50 Sunday Main Event,0 USDT,2025-06-08 15:53:13 GMT-3 | 351766229,Approved
,MTT fee conversion withdrawal,-0.000045519918971555 CHP,2025-06-08 15:53:13 GMT-3 | 351766230,Approved
,MTT fee conversion deposit,0.000002442189172743 USDT,2025-06-08 15:53:13 GMT-3 | 351766231,Approved
,NL Hold'em - ?50 Sunday Main Event,-50 USDT,2025-06-08 15:30:26 GMT-3 | 351749646,Approved
,Transfer from player: MiCajeroCoin,400 USDT,2025-06-08 13:57:11 GMT-3 | 351686805,Approved